EnrollmentID,StudentID,CourseID,Semester,Year,MidtermScore,FinalScore,TotalScore,LetterGrade
435,1279,COURSE46,Spring,2019,3.7,2.8,3.16,F
436,1044,COURSE31,Fall,2020,3.7,4.9,4.42,D
437,1251,COURSE3,Spring,2022,4.5,4.3,4.38,D
438,1330,COURSE4,Fall,2019,5.0,6.0,5.6,C
439,1394,COURSE41,Spring,2020,6.2,6.0,6.08,C
440,1473,COURSE1,Summer,2021,8.3,9.6,9.08,A
441,1083,COURSE44,Summer,2024,8.0,8.1,8.06,B
442,1255,COURSE26,Fall,2020,5.2,6.3,5.86,C
443,1104,COURSE24,Fall,2021,3.1,3.2,3.16,F
444,1175,COURSE30,Fall,2023,8.3,7.6,7.88,B
445,1454,COURSE31,Spring,2022,7.4,8.1,7.82,B
446,1409,COURSE28,Spring,2023,7.8,7.8,7.8,B
447,1023,COURSE24,Spring,2024,8.4,8.8,8.64,A
448,1239,COURSE2,Spring,2023,8.0,8.6,8.36,B
449,1037,COURSE43,Summer,2021,2.2,3.5,2.98,F
450,1074,COURSE36,Summer,2024,5.8,5.6,5.68,C
451,1485,COURSE47,Fall,2022,9.7,8.8,9.16,A
452,1395,COURSE32,Summer,2021,2.5,1.6,1.96,F
453,1021,COURSE13,Fall,2023,3.9,1.3,2.34,F
454,1298,COURSE20,Spring,2024,7.9,8.4,8.2,B
455,1319,COURSE24,Summer,2022,4.8,5.3,5.1,D
456,1177,COURSE18,Summer,2019,7.0,8.0,7.6,B
457,1294,COURSE4,Summer,2022,7.9,7.7,7.78,B
458,1217,COURSE21,Summer,2019,3.7,3.1,3.34,F
459,1136,COURSE36,Summer,2022,9.7,9.6,9.64,A
460,1214,COURSE28,Summer,2022,6.0,6.2,6.12,C
461,1168,COURSE47,Spring,2022,5.9,5.5,5.66,C
462,1313,COURSE16,Summer,2023,7.6,7.6,7.6,B
463,1417,COURSE43,Spring,2023,3.8,4.2,4.04,D
464,1107,COURSE17,Summer,2023,7.4,7.1,7.22,B
465,1085,COURSE7,Spring,2019,4.0,2.1,2.86,F
466,1438,COURSE15,Summer,2019,5.8,5.6,5.68,C
467,1104,COURSE32,Spring,2023,7.4,7.0,7.16,B
468,1076,COURSE45,Fall,2020,5.1,6.0,5.64,C
469,1468,COURSE11,Spring,2019,6.6,6.2,6.36,C
470,1267,COURSE15,Fall,2022,7.5,8.7,8.22,B
471,1043,COURSE12,Fall,2021,8.0,8.1,8.06,B
472,1111,COURSE49,Spring,2022,3.5,2.1,2.66,F
473,1315,COURSE24,Summer,2023,7.2,8.2,7.8,B
474,1164,COURSE47,Fall,2020,5.8,6.6,6.28,C
475,1002,COURSE26,Spring,2024,9.0,9.0,9.0,A
476,1198,COURSE7,Spring,2020,7.7,8.7,8.3,B
477,1151,COURSE38,Summer,2023,5.3,4.7,4.94,D
478,1346,COURSE2,Spring,2022,5.5,4.5,4.9,D
479,1199,COURSE43,Fall,2022,7.0,7.5,7.3,B
480,1306,COURSE41,Fall,2021,4.2,5.0,4.68,D
481,1488,COURSE33,Fall,2020,6.5,8.1,7.46,B
482,1384,COURSE13,Summer,2021,2.8,2.3,2.5,F
483,1456,COURSE47,Spring,2021,4.5,4.7,4.62,D
484,1189,COURSE33,Fall,2024,8.7,9.0,8.88,A
485,1493,COURSE10,Summer,2021,7.4,7.6,7.52,B
486,1042,COURSE45,Spring,2020,3.0,2.9,2.94,F
487,1370,COURSE2,Spring,2024,7.0,7.8,7.48,B
488,1413,COURSE12,Summer,2020,7.7,7.0,7.28,B
489,1341,COURSE27,Summer,2023,8.8,8.9,8.86,A
490,1100,COURSE13,Summer,2021,2.8,3.5,3.22,F
491,1499,COURSE38,Spring,2022,5.7,6.2,6.0,C
492,1495,COURSE19,Summer,2024,5.0,6.0,5.6,C
493,1225,COURSE19,Spring,2019,3.3,1.9,2.46,F
494,1070,COURSE41,Fall,2024,2.4,1.9,2.1,F
495,1157,COURSE42,Spring,2019,8.4,7.1,7.62,B
496,1163,COURSE14,Spring,2023,8.7,8.6,8.64,A
497,1274,COURSE9,Spring,2020,7.6,7.2,7.36,B
498,1303,COURSE34,Summer,2024,7.8,7.4,7.56,B
499,1150,COURSE7,Spring,2021,3.4,2.0,2.56,F
500,1391,COURSE36,Spring,2019,7.5,8.9,8.34,B
